Year,Justice Name,Appointing President,Appointing President Party,Year Appointed,Ideology,Age,Years on Court,Status,Departure Reason,President,President Party,Presidential Term,Election Year Type,House Control,Senate Control,Court Conservatives,Court Moderates,Court Liberals
1900,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,67,12,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,67,23,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,Horace Gray,Chester A. Arthur,Republican,1882,Moderate,72,18,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,David Brewer,Benjamin Harrison,Republican,1890,Conservative,63,10,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,64,9,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,George Shiras Jr.,Benjamin Harrison,Republican,1892,Moderate,68,8,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,Edward Douglass White,Grover Cleveland,Democratic,1894,Moderate,55,6,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,Rufus Peckham,Grover Cleveland,Democratic,1896,Conservative,62,4,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1900,Joseph McKenna,William McKinley,Republican,1898,Moderate,57,2,Stayed,,William McKinley,Republican,1,Presidential Election,Republican,Republican,3,5,1
1901,Melville Fuller,Grover Cleveland,Democratic,1888,Conservative,68,13,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,John Marshall Harlan,Rutherford B. Hayes,Republican,1877,Liberal,68,24,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,Horace Gray,Chester A. Arthur,Republican,1882,Moderate,73,19,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,David Brewer,Benjamin Harrison,Republican,1890,Conservative,64,11,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
1901,Henry Billings Brown,Benjamin Harrison,Republican,1891,Moderate,65,10,Stayed,,William McKinley,Republican,2,Non-Election Year,Republican,Republican,3,5,1
